20641,Spacerowa,
20677,Spokojna,
20683,Sportowa,
20798,Staffa,Leopolda
20798,Staffa Leopolda,
20798,Leopolda Staffa,
21030,Stary Rynek,
21047,Starzyńskiego,Stefana
21047,Starzyńskiego Stefana,
21047,Stefana Starzyńskiego,
21071,Staszica,Stanisława
21071,Staszica Stanisława,
21071,Stanisława Staszica,
21308,Struga,Andrzeja
21308,Struga Andrzeja,
21308,Andrzeja Struga,
21325,Strumykowa,
21435,Stwosza,Wita
21435,Wita Stwosza,
21435,Stwosza Wita,
21435,Wita Stwosza,
21499,Sucharskiego,mjr. Henryka
21499,Sucharskiego mjr. Henryka,
21499,mjr. Henryka Sucharskiego,
21575,Sułkowskiego,Józefa
21575,Sułkowskiego Józefa,
21575,Józefa Sułkowskiego,
21654,Sygietyńskiego,Tadeusza
21654,Sygietyńskiego Tadeusza,
21654,Tadeusza Sygietyńskiego,
21787,Szarych Szeregów,
21805,Szczecińska,
21970,Szkolna,
22179,Szwedzka,
22238,Szymanowskiego,Karola
22238,Szymanowskiego Karola,
22238,Karola Szymanowskiego,
22508,Świerkowa,
22555,Świętopełka,
22723,Teatralna,
22738,Teligi,Leonida
22738,Teligi Leonida,
22738,Leonida Teligi,
22880,Topolowa,
22907,Towarowa,
22944,Tramwajowa,
22965,Traugutta,Romualda
22965,Traugutta Romualda,
22965,Romualda Traugutta,
23184,Turystyczna,
23196,Tuwima,Juliana
23196,Tuwima Juliana,
23196,Juliana Tuwima,
23514,Walasiewiczówny,Stanisławy
23514,Walasiewiczówny Stanisławy,
23514,Stanisławy Walasiewiczówny,
23611,Wandy,
23707,Waryńskiego,Ludwika
23707,Waryńskiego Ludwika,
23707,Ludwika Waryńskiego,
23775,Wazów,
23814,Wczasowa,
23912,Wędkarska,
23972,Wiatraczna,
24048,Wiejska,
24063,Wielicka,
24123,Wieniawskiego,Henryka
24123,Wieniawskiego Henryka,
24123,Henryka Wieniawskiego,
24170,Wierzbowa,
24289,Wileńska,
24412,Wiśniowa,
24432,Witkacego,
24459,Witosa,Wincentego
24459,Witosa Wincentego,
24459,Wincentego Witosa,
24490,Władysława IV,
24494,Władysława Jagiełły,
24494,Jagiełły,
24516,Włodkowica,Pawła
24516,Włodkowica Pawła,
24516,Pawła Włodkowica,
24628,Wojska Polskiego,
24687,Wolności,
24806,Wrocławska,
24908,Wybickiego,Józefa
24908,Wybickiego Józefa,
24908,Józefa Wybickiego,
25061,Wysockiego,Piotra
25061,Wysockiego Piotra,
25061,Piotra Wysockiego,
25067,Wysoka,
25084,Wyspiańskiego,Stanisława
25084,Wyspiańskiego Stanisława,
25084,Stanisława Wyspiańskiego,
25107,Wyszyńskiego,kard. Stefana
25107,Wyszyńskiego kard. Stefana,
25107,kard. Stefana Wyszyńskiego,
25276,Zaborowskiej,Marii
25276,Zaborowskiej Marii,
25276,Marii Zaborowskiej,
25305,Zachodnia,
25536,Zamenhofa,Ludwika
25536,Zamenhofa Ludwika,
25536,Ludwika Zamenhofa,
25540,Zamiejska,
25547,Zamkowa,
25561,Zamojskiego,Jana
25561,Zamojskiego Jana,
25561,Jana Zamojskiego,
26049,Ziei,ks. Jana
26049,Ziei ks. Jana,
26049,ks. Jana Ziei,
26081,Zielona,
26129,Ziemowita,
26188,Złota,
26243,Zofii,Księżnej
26243,Księżnej Zofii,
26243,Zofii Księżnej,
26243,Księżnej Zofii,
26325,Zwycięstwa,
26334,Zygmunta Augusta,
26433,Żelazna,
26469,Żeromskiego,Stefana
26469,Żeromskiego Stefana,
26469,Stefana Żeromskiego,
26529,Żółkiewskiego,Stanisława
26529,Żółkiewskiego Stanisława,
26529,Stanisława Żółkiewskiego,
26585,Żurawinowa,
26608,Żwirki i Wigury,
26969,Lutosławskiego,Witolda
26969,Lutosławskiego Witolda,
26969,Witolda Lutosławskiego,
26983,Chodkiewicza,Karola
26983,Chodkiewicza Karola,
26983,Karola Chodkiewicza,
27319,Niemcewicza,Juliana
27319,Niemcewicza Juliana,
27319,Juliana Niemcewicza,
27712,Policjantów,
31083,Pileckiego,Rotmistrza Witolda
31083,Pileckiego Rotmistrza Witolda,
31083,Rotmistrza Witolda Pileckiego,
31136,Kijowskiego,Władysława
31136,Kijowskiego Władysława,
31136,Władysława Kijowskiego,
31137,Kwapisza,Władysława
31137,Kwapisza Władysława,
31137,Władysława Kwapisza,
31138,Repelowskiego,Stanisława
31138,Repelowskiego Stanisława,
31138,Stanisława Repelowskiego,
31139,Trzeciak,Aleksandry
31139,Trzeciak Aleksandry,
31139,Aleksandry Trzeciak,
31140,Szafranka,Franciszka
31140,Szafranka Franciszka,
31140,Franciszka Szafranka,
31141,Łady-Cybulskiego,Edwarda
31141,Łady-Cybulskiego Edwarda,
31141,Edwarda Łady-Cybulskiego,
31142,Czaplińskiego,Tadeusza
31142,Czaplińskiego Tadeusza,
31142,Tadeusza Czaplińskiego,
31143,Aluchny-Emelianow,Marty
31143,Aluchny-Emelianow Marty,
31143,Marty Aluchny-Emelianow,
31144,Bogdanowicza,Ignacego
31144,Bogdanowicza Ignacego,
31144,Ignacego Bogdanowicza,
31145,Posmykiewicza,Jana
31145,Posmykiewicza Jana,
31145,Jana Posmykiewicza,
31146,Sojki,Stanisława
31146,Sojki Stanisława,
31146,Stanisława Sojki,
31147,Awstrica,Romana
31147,Awstrica Romana,
31147,Romana Awstrica,
31283,Herberta,Zbigniewa
